Family,Genus,Species,ISIfruits,ISIseeds,ISItotal,Latitude,Longitude,notes,source
Melastomataceae,Clidemia,capitellata,-0.07,0.02,-0.05,8.933333333,-67.41666667,,Ramirez and Brito 1990
Melastomataceae,Comolia,microphylla,0.35,,,,,,Hokche and Ramirez 2008
Melastomataceae,Desmoscelis,villosa,0.23,0.64,0.72,8.933333333,-67.41666667,,Ramirez and Brito 1990
Melastomataceae,Eriocnema,fulva,0.57,,,-19.975,-43.89166667,,"Andrade et al. 2007. Reproductive system of Eriocnema fulva Naudin (Melastomataceae), an endemic species of Minas Gerais state, SE Brazil"
Melastomataceae,Graffenrieda,latifolia,0.70,0.81,0.94,10,-66,,Sobrevila and Arroyo 1982
Melastomataceae,Leandra,lacunosa,0.02,,,-22.25,47.82,,Goldenberg and Shepherd 1998
Melastomataceae,Leandra,subseriata,0.08,,,9.567,-83.8,,Wesselingh et al. 1999
Melastomataceae,Marcetia,taxifolia,0.02,,,,,,Hokche and Ramirez 2008
Melastomataceae,Meriania,sclerophyla,-0.04,,,,,,Hokche and Ramirez 2008
Melastomataceae,Miconia,alata,0.14,,,,,,Hokche and Ramirez 2008
Melastomataceae,Miconia,discolor,0.08,,,,,,Borges 1991 Ms thesis
Melastomataceae,Miconia,elegans,0.70,,,,,,Borges 1991 Ms thesis
Melastomataceae,Miconia,langsdorffii,1.00,,,-22.25,47.82,,Goldenberg and Shepherd 1998
Melastomataceae,Miconia,ligustroides,0.15,,,-22.25,47.82,,Goldenberg and Shepherd 1998
Melastomataceae,Miconia,minutiflora,0.06,,,-22.25,47.82,,Goldenberg and Shepherd 1998
Melastomataceae,Miconia,pepericarpa,1.00,,,-22.25,47.82,,Goldenberg and Shepherd 1998
Melastomataceae,Miconia,rubiginosa,-0.04,,,-22.25,47.82,,Goldenberg and Shepherd 1998
Melastomataceae,Miconia,stenostachya,0.39,,,,,,Baumgratz and da Silva 
Melastomataceae,Miconia,stephananthera,-0.06,-0.01,-0.07,8.933333333,-67.41666667,,Ramirez and Brito 1990
Melastomataceae,Miconia,theaezans,0.62,,,,,,Borges 1991 Ms thesis
Melastomataceae,Pterolepis,glomerata,0.01,0.08,0.08,8.933333333,-67.41666667,,Ramirez and Brito 1990
Melastomataceae,Tibouchina,fraterna,-0.20,,,,,,Hokche and Ramirez 2008
Melastomataceae,Tibouchina,stenocarpa,0.03,,,-22.25,47.82,,Goldenberg and Shepherd 1998
Melastomataceae,Tococa,guianensis,0.00,,,,,,Hokche and Ramirez 2008
Melastomataceae,Tococa,nitens,-0.43,,,,,,Hokche and Ramirez 2008
Melastomataceae,Topobea,branesii,-0.01,,,,,Monteverde: ecology and conservation of a tropical cloud forest,Lumer XXXX
Meliaceae,Walsura,trifolia,0.92,,,12.06,79.88,,Nayak and Davidar 2010
Memecylaceae,Memecylon,umbellatum,0.41,,,12.06,79.88,,Nayak and Davidar 2010
Menyanthaceae,Menyanthes,trifoliata,0.82,,,island,island,avg of 3 populations; see Individuals tab,Thompson et al. 1998
Menyanthaceae,Nymphoides,peltata,1.00,,,marine,marine,,Wang et al. 2005
Mimosaceae,Acacia,sinuata,1.00,,,17.86666667,82.33,,Raju and Rao 2002
Moraceae,Ficus,aurea,0.02,,,25.71666667,-80.26666667,Average of 8 individuals; see Individuals tab,Hossaert-McKey and Bronstein 2001
Musaceae,Heliconia,acuminata,-0.24,,,10.35,-67.683,,Ramirez and Seres 1994
Musaceae,Heliconia,psittacorum,0.73,0.63,0.90,8.933333333,-67.41666667,,Ramirez and Brito 1990
Musaceae,Heliconia,revoluta,0.54,,,10.35,-67.683,,Ramirez and Seres 1994
Myrsinaceae,Anagallis,monelli,0.98,,,38,-6,range estimate,multiple
Myrsinaceae,Ardisia,nigropunctata,-0.27,,,10.433,-84,,Bawa et al. 1985a
Myrsinaceae,Ardisia,revoluta,0.55,,,10.53,-85.25,,Bawa 1974
Myrsinaceae,Cyclamen,persicum,0.95,,,-32.675,34.93,,Schwartz-Tachor et al. 2008
Myrsinaceae,Jacquinia,aristata,0.83,0.80,0.97,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Myrtaceae,Amomyrtus,luma,0.68,,,-40,-72.3,,Riveros et al. 1996
Myrtaceae,Blepharocalyx,salicifolius,1.00,,,-15.9,-47.85833333,,Proenca and Gibbs 1994
Myrtaceae,Campomanesia,cambessidiana,-0.19,,,-13,-50,,Saraiva et al. 1996
Myrtaceae,Campomanesia,pubescens,0.91,,,-15.9,-47.85833333,,Proenca and Gibbs 1994
Myrtaceae,Campomanesia,velutina,1.00,,,-15.9,-47.85833333,,Proenca and Gibbs 1994
Myrtaceae,Eucalyptus,argutifolia,-0.03,,,-31.042,115.483,,Kennigton and James 1997
Myrtaceae,Eucalyptus,camaldulensis,0.00,0.18,0.18,naturalized,naturalized,Naturalized,Rambuda and Johnson 2004
Myrtaceae,Eucalyptus,cladocalyx,-0.19,0.66,0.59,-32.916,135.879,avg. see inds. Tab,Ellis and Sedgley 1992
Myrtaceae,Eucalyptus,globulus,0.45,0.88,0.93,island,island,,multiple
Myrtaceae,Eucalyptus,grandis,-0.83,0.46,0.01,-29.483,30.1833,,Horsley and Johnson 2007
Myrtaceae,Eucalyptus,leptophylla,0.82,0.68,0.94,-32.916,135.879,avg. see inds. Tab,Ellis and Sedgley 1992
Myrtaceae,Eucalyptus,nitens,0.33,0.62,0.75,island,island,percentages are averages of individuals; see other tab,Pound et al. 2003
Myrtaceae,Eucalyptus,platypus,0.14,0.52,0.59,-34,120,cf Sedgley and Granger 1996; not in tropicos wiki range,Wallwork and Sedgley 2005
Myrtaceae,Eucalyptus,spathulata,0.93,0.89,0.99,-30,120,range estimate,multiple
Myrtaceae,Eucalyptus,urophylla,0.42,0.63,0.78,-29.483,30.1833,,Horsley and Johnson 2007
Myrtaceae,Eugenia,bracteata,,,,12.06,79.88,,Nayak and Davidar 2010
Myrtaceae,Eugenia,dysenterica,0.17,,,-15.9,-47.85833333,,Proenca and Gibbs 1994
Myrtaceae,Eugenia,virgultosa,0.52,,,island,island,,Tanner 1982
Myrtaceae,Kunzea,pomifera,0.84,0.98,,,,,Page et al. 2010
Myrtaceae,Luma,apiculata,0.99,,,-40,-72.3,,Riveros et al. 1996
Myrtaceae,Melaleuca,alternifolia,1.00,,,-33.9,147.25,alt 250 m,Baskorowati et al.
Myrtaceae,Metrosideros,excelsa,,0.63,,island,island,avg. see inds. Tab,Schmidt-Adam et al. 1999
Myrtaceae,Myrceugenia,planipes,0.91,,,-40,-72.3,,Riveros et al. 1996
Myrtaceae,Myrica,fallax,0.72,0.73,0.93,10,-66,,Sobrevila and Arroyo 1982
Myrtaceae,Myrica,linearifolia,0.89,,,-15.9,-47.85833333,,Proenca and Gibbs 1994
Myrtaceae,Myrica,rhodosepala,-0.24,,,-15.9,-47.85833333,,Proenca and Gibbs 1994
Myrtaceae,Psidium,firmum,-0.29,,,-15.9,-47.85833333,,Proenca and Gibbs 1994
Myrtaceae,Psidium,sartorianum,0.98,,,19.5,-105.05,,Bullock 1985
Myrtaceae,Siphoneugena,densiflora,1.00,,,-15.9,-47.85833333,,Proenca and Gibbs 1994
Myrtaceae,Syzygium,cormiflorum,,0.49,,-17.098,145.481,Crome and Irvine 1986,Lloyd and Schoen 1992
Myrtaceae,Syzygium,rubicundum,0.62,,,island,island,,Stacy 2001
Myrtaceae,Thryptomene,calycina,0.96,,,-37.265,142.317,avg. see inds. Tab,Beardsell et al. 1993
Myrtaceae,Ugni,molinae,0.32,,,-39.232,-72.773,,Seguel et al. 1999
Nyctaginaceae,Abronia,ammophila,-0.01,,,44.488,-110.469,,Saunders and Sipes 2006
Nyctaginaceae,Abronia,macrocarpa,1.00,1.00,1.00,31.081,-96.205,seed set #s are percentages,Williamson et al. 1994
Nyctaginaceae,Commicarpus,tuberosus,-9.87,-14.00,-162.04,island,island,,McMullen 1987
Nyctaginaceae,Mirabilis,violaceae,1.00,1.00,1.00,10.5,-66.88,,Jaimes and Ramirez 1999
Ochnaceae,Ouratea,hexasperma,0.89,,,-15.86666667,-47.85,R. Henriques (unpublished data) ,Oliveira and Gibbs 2000
Ochnaceae,Sauvagesia,rubiginosa,0.36,0.27,0.53,8.933333333,-67.41666667,,Ramirez and Brito 1990
Olacaceae,Ximenia,americana,1.00,1.00,1.00,10.5,-66.88333333,,Ruiz-Zapata and Arroyo 1978
Oleaceae,Jasminium,fruticans,1.00,,,42.585,-6.905,L morph,Guitian et al. 1998
Oleaceae,Olea,europaea,0.55,,,30.902,36.453,avg. see inds. Tab; olive cultivars at University of Jordan,Ateyyeh et al. 2000
Oleaceae,Phyllirea,angustifolia,0.88,,,43.612,3.879,avg. see inds. Tab,Vassiliadis et al. 2000
Onagraceae,Calylophus,serrulatus,,0.11,,44.507,-93.109,avg of 3 populations; see Individuals tab,Heiser and Shaw 2006
Onagraceae,Clarkia,gracilis,0.07,,,38.655,-122.192,avg. see inds. Tab,Jones 1994
Onagraceae,Clarkia,unguiculata,,0.10,,34.542,119.833,greenhouse,Travers and Mazer 2000
Onagraceae,Epilobium,angustifolium,0.87,,,45.069,-109.432,,Husband and Schemske 1995
Onagraceae,Epilobium,obcordatum,0.88,,,43.277,-119.015,avg. see Inds. Tab,Seavey and Carter 1994
Onagraceae,Gaura,lindheimeri,,1.00,,31.503,-94.219,avg. see inds. Tab,Peters and Anderson 2006
Onagraceae,Ludwigia,nervosa,0.40,0.20,0.52,8.933333333,-67.41666667,,Ramirez and Brito 1990
Onagraceae,Oenothera,affinis,0.11,,,-31.73,-64.43,,Morales and Galetto 2003
Onagraceae,Oenothera,albicaulis,1.00,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,biennis,0.19,0.37,0.49,naturalized,naturalized,Naturalized,Rambuda and Johnson 2004
Onagraceae,Oenothera,californica,0.75,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,coronopifolia,0.87,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,engelmannii,1.00,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,neomexicana,0.00,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,nuttallii,0.03,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,pallida subsp. Latifolia,0.96,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,pallida subsp. Pallida,0.84,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,pallida subsp. Runcinata,0.96,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,pallida subsp. Trichocalyx,1.00,,,,,,Theiss et al. 2010 AJB
Onagraceae,Oenothera,rosea,0.25,,,-31.73,-64.43,,Morales and Galetto 2003
Orchidaceae,Aerangis,ellisii,0.00,,,-18.93,47.74,,"Nilsson, L.A. and E. Rabakonandrianina. 1988. Hawk-moth scale analysis and pollination specialization in the epilithic Malagasy endemic Aerangis ellisii (Reichenb. Fil.) Schltr. (Orchidaceae). Bot. J. Linn Soc. 97:49-61. "
Orchidaceae,Anathallis,heterophylla,1.00,,,-21.46666667,,,Gontijo et al. 2010
Orchidaceae,Anathallis,microphyta,1.00,,,-17.75,,,Gontijo et al. 2010
Orchidaceae,Anathallis,rubens,1.00,,,-20.08333333,,,Gontijo et al. 2010
Orchidaceae,Anathallis,sclerophylla,0.49,,,-19.9415,,,Gontijo et al. 2010
Orchidaceae,Angraecum,cadetii,0.05,,,island,island,average of field and lab pollinations,Micheneau et al. 2010
Orchidaceae,Bulbophyllum,involutum,-0.07,-0.10,-0.17,-19.275,-43.525,,Borba et al. 1999
Orchidaceae,Bulbophyllum,ipanemense,0.11,0.14,0.24,-21.333,-44.567,greenhouse,Borba et al. 1999
Orchidaceae,Bulbophyllum,weddellii,0.37,-0.71,-0.08,-19.275,-43.525,,Borba et al. 1999
Orchidaceae,Calopogon,tuberosus,-0.05,,,44.477,-69.836,Firmage and Cole 1988,Lloyd and Schoen 1992
Orchidaceae,Cattleya,elongata,0.13,,,-13.05,-41.3,,Smidt et al. 2006
Orchidaceae,Cattleya,tenuis,0.00,,,-13.55,-41.8,,Smidt et al. 2006
Orchidaceae,Caulophyllum,thalictroides,0.88,0.91,0.99,42.468,-83.798,var. giganteum,Hannan and Prucher 1996
Orchidaceae,Chloraea,lamellata,0.32,,,-39.467,-73.19,,Lehnebach and Riveros 2003
Orchidaceae,Cypripedium,acaule,0.00,,,46.55,-66.15,,Barrett and Helenurm 1987
Orchidaceae,Cypripedium,fasciculatum,0.05,,,43.005,-114.258,,Lipow et al. 2002
Orchidaceae,Cyrtopodium,punctatum,0.38,,,10.5,-66.88,,Jaimes and Ramirez 1999
Orchidaceae,Earina,aestivalis,0.09,,,island,island,NZ,lehnebach and robertson 2004
Orchidaceae,Earina,autumnalis,0.03,,,island,island,NZ,lehnebach and robertson 2004
Orchidaceae,Earina,mucronata,0.52,,,island,island,NZ,lehnebach and robertson 2004
Orchidaceae,Encyclica,cordigera,0.11,,,11.003,-85.432,Janzen et al 1980,Lloyd and Schoen 1992
Orchidaceae,Epidendrum,obesum,0.20,,,10.3,-84.8,,Bush and Beach 1995
Orchidaceae,Eulophia,foliosa,0.00,0.80,0.80,-28.66666667,30.66666667,,Peter and Johnson 2003
Orchidaceae,Eulophia,welwitschii,-0.06,,,-28.27333333,31.36,,Peter and Johnson 2009
Orchidaceae,Gavilea,araucana,0.00,,,-34.415,-71.44,,Valdivia et al. 2010
Orchidaceae,Gavilea,venosa,0.00,,,-34.415,-71.44,,Valdivia et al. 2010
Orchidaceae,Govenia,fasciata,0.25,,,10.35,-67.683,,Ramirez and Seres 1994
Orchidaceae,Govenia,urticulata,0.17,,,10.35,-67.683,,Ramirez and Seres 1994
Orchidaceae,Habenaria,monorrhiza,-2.38,,,island,island,var. galapagensis,McMullen 1987
Orchidaceae,Isotria,medeoloides,0.00,,,43.161,-70.738,,Vitt and Campbell 1997
Orchidaceae,Lepanthes,rubripetala,1.00,,,island,island,growth chamber,Tremblay et al. 2006
Orchidaceae,Lepanthes,rupestris,1.00,,,island,island,growth chamber,Tremblay et al. 2006
Orchidaceae,Lepanthes,woodburyana,1.00,,,island,island,growth chamber,Tremblay et al. 2006
Orchidaceae,Liparis,kumokiri,0.30,,,38.445,127.089,,Oh et al. 2001
Orchidaceae,Liparis,makinoana,1.00,,,38.445,127.089,,Oh et al. 2001
Orchidaceae,Listera,cordata,0.00,0.50,0.50,38.959,-106.99,,Melendez-Ackerman and Ackerman 2001
Orchidaceae,Nervilia,nipponica,0.04,,,island,island,Japan,Gale 2007
Orchidaceae,Octomeria,crassifolia,1.00,,,,,,Barbosa et al. 2009
Orchidaceae,Octomeria,grandiflora,0.92,,,,,,Barbosa et al. 2009
Orchidaceae,Octomeria,praestans,1.00,,,,,,Barbosa et al. 2009
Orchidaceae,Platanthera,ciliaris,-0.07,,,34,-80,Robertson and Wyatt 1990,Lloyd and Schoen 1992
Orchidaceae,Platanthera,leucophaea,,0.63,,41.067,-82.59,avg. see inds. Tab,Wallace Thesis
Orchidaceae,Platanthera,stricta,-0.09,,,47.857,-123.53,Patt et al 1989,Lloyd and Schoen 1992
Orchidaceae,Pleurothallis,adamantinensis,0.95,,,-17.391,-43.267,glasshouse,Borba et al. 2001
Orchidaceae,Pleurothallis,cardiothallis,-0.12,,,10.3,-84.8,,Bush and Beach 1995
Orchidaceae,Pleurothallis,fabiobarrosii,0.93,,,-16.55,-42.9,glasshouse,Borba et al. 2001
Orchidaceae,Pleurothallis,johannensis,0.79,,,-21.399,-44.468,avg. see inds. Tab; glasshouse,Borba et al. 2001
Orchidaceae,Pleurothallis,ochreata,0.69,,,-12.03,-40.118,avg. see inds. Tab; glasshouse,Borba et al. 2001
Orchidaceae,Pleurothallis,teres,0.72,,,-19.398,-43.631,avg. see inds. Tab;glasshouse,Borba et al. 2001
Orchidaceae,Pterostylis,alobula,0.33,,,island,island,Lehnebach 2002,Newstrom and Robertson 2005
Orchidaceae,Pterostylis,patens,-0.10,,,island,island,Lehnebach 2002,Newstrom and Robertson 2005
Orchidaceae,Satyrium,longicauda,0.00,0.74,0.74,-29.317,30.283,,Johnson et al. 2009
Orchidaceae,Sobralia,amabilis,-0.05,,,10.3,-84.8,,Bush and Beach 1995
Orchidaceae,Thelymitra,longifolia,0.15,,,island,island,Lehnebach 2002,Newstrom and Robertson 2005
Orchidaceae,Winka,cunninghamii,0.50,,,island,island,NZ,lehnebach and robertson 2004
Orobanchaceae,Agalinis,auriculata,0.03,0.05,0.08,41.434,-88.11,,Mulvaney et al. 2004
Oxalidaceae,Oxalis,magellanica,-0.10,,,-40,-72.3,,Riveros et al. 1996
Oxalidaceae,Oxalis,montana,0.00,,,46.55,-66.15,,Barrett and Helenurm 1987
Oxalidaceae,Oxalis,squamata,0.83,,,-32.33,-70.3,,Marco and Arroyo 1998
Paeoniaceae,Paeonia,broteroi,0.73,,,37.422,-2.9,percentages are averages of individuals; see other tab,Sanchez-LaFuente et al. 1999
Paeoniaceae,Paeonia,californica,,0.69,,34.357,-118.442,Schlising 1976,Lloyd and Schoen 1992
Paeoniaceae,Paeonia,jishanensis,,1.00,,35.617,118.95,,Zhou et al. 1999
Papaveraceae,Argemone,aurantiaca,,-0.17,,30.054,-98.002,Schneider and Nichols 1984,Lloyd and Schoen 1992
Papaveraceae,Sanguinaria,canadensis,0.06,-0.35,-0.28,40,-78.9,,Motten 1986
Passifloraceae,Passiflora,foetida1,1.00,1.00,1.00,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Passifloraceae,Passiflora,gracilis,-0.14,0.12,-0.01,island,island,,"Darwin, C. 1868. The variation of animals and plants under domestication."
Philesiaceae,Luzuriaga,radicans,1.00,,,-40,-72.3,,Riveros et al. 1996
Phytolaccaceae,Ercilla,sincarpellata,1.00,,,-40,-72.3,habit questionable?,Riveros et al. 1996
Pinaceae,Abies,alba,0.42,,,48.477,18.496,Kormutak and Lindgren 1996,Kormutak 1999
Pinaceae,Abies,procera,0.29,,,44.383,-122.15,,Sorensen 1999
Pinaceae,Larix,gmelinii,,0.53,,island,island,island; not naturally occuring ,Sato 1997
Pinaceae,Pinus,contorta,,0.88,,43.757,-121.475,,Sorensen 2001
Pinaceae,Pinus,ponderosa,0.54,,,44,-121.5,,Sorensen 1999
Pinaceae,Pinus,sylvestris,0.16,,,61.325,26.458,,Karkkainen et al. 1999
Pinaceae,Psuedotsuga,menziesii,0.90,,,44.5,-121,,Sorensen 1999
Plantaginaceae,Angelonia,bisaccata,1.00,,,-8.46,-37.42,Machado 1990; Vogel and Machado 1991,Machado et al. 2006
Plantaginaceae,Angelonia,cornigera,1.00,,,-8.46,-37.42,Machado et al 2002,Machado et al. 2006
Plantaginaceae,Angelonia,hirta,1.00,,,-8.46,-37.42,Machado 1990; Vogel and Machado 1991,Machado et al. 2006
Plantaginaceae,Angelonia,hookeriana,1.00,,,-8.46,-37.42,Machado 1990; Vogel and Machado 1991,Machado et al. 2006
Plantaginaceae,Angelonia,pubescens,0.00,,,-8.46,-37.42,Machado 1990; Vogel and Machado 1991,Machado et al. 2006
Plantaginaceae,Antirrhimun,microphyllum,0.97,,,40.367,-2.756,greenhouse,Torres et al. 2002
Plantaginaceae,Antirrhinum,charidemi,0.89,0.52,0.95,36.733,-2.166,,Carrio et al. 2009
Plantaginaceae,Antirrhinum,subbaeticum,0.03,-0.07,-0.03,38.8,-2.1,,Carrio et al. 2009
Plantaginaceae,Antirrhinum,valentinum,0.95,0.74,0.99,39.749,-0.549,,Mateu-Andres and Segarra-Moragues 2004; Carrio et al. 2009
Plantaginaceae,Calceolaria,crenatiflora,0.03,,,-40,-72.3,,Riveros et al. 1996
Plantaginaceae,Calceolaria,dentata,0.41,,,-40,-72.3,,Riveros et al. 1996
Plantaginaceae,Calceolaria,purpurea,0.76,0.93,0.98,-33.33,-70.33,,Arroyo and Uslar 1993
Plantaginaceae,Calceolaria,sp,0.82,1.00,1.00,-33.33,-70.33,,Arroyo and Uslar 1993
Plantaginaceae,Calceolaria,tenella,0.27,,,-40,-72.3,,Riveros et al. 1996
Plantaginaceae,Chaenorrhinum,origanifolium,1.00,,,40.288,-0.165,,Mateu and Figueres 1998
Plantaginaceae,Chaenorrhinum,tenellum,0.18,0.32,0.44,39.513,-0.747,,Mateu and Figueres 1998
Plantaginaceae,Collinsia,heterophylla,,0.07,,36.9395,-120.7,latest t rate,Lankinen et al. 2007
Plantaginaceae,Mazus,miquelii,0.07,,,island,island,Kimata 1978,Lloyd and Schoen 1992
Plantaginaceae,Mimulus,repens,0.15,,,island,island,Bocher and Philipp 1985,Newstrom and Robertson 2005
Plantaginaceae,Mimulus,ringens,0.00,0.00,0.00,43,-88,t averaged as in Barringer 2006; ISI reported as unpub data.; exact numbers unavailable; average range,Karron et al. 2006
Plantaginaceae,Nuttallanthus,canadensis,,-0.08,,33.32614286,-80.81771429,,Crawford and Elisens 2006
Plantaginaceae,Nuttallanthus,floridanus,,0.01,,29.939625,-85.32075,,Crawford and Elisens 2006
Plantaginaceae,Nuttallanthus,texanus,,-0.10,,32.03920833,-92.32295833,,Crawford and Elisens 2006
Plantaginaceae,Ourisia,macrocarpa,0.00,,,island,island,Schlessman 1986,Newstrom and Robertson 2005
Plantaginaceae,Penstemon,haydenii,0.89,0.97,1.00,42.269,-107.045,avg. see inds. Tab,Tepedino et al. 2007
Plantaginaceae,Triphysaria,versicolor,,1.00,,38.297,-122.293,greenhouse,Yoder 1998
Plantaginaceae,Zaluzianskya,microsiphon,1.00,1.00,1.00,-29.306,30.322,,Johnson et al. 2002
Plantaginaceae,Zaluzianskya,natalensis,1.00,1.00,1.00,-29.283,30.283,,Johnson et al. 2002
Plumbaginaceae,Limonium,perigrinum,0.68,,,-28.922,24.785,native lat/long,Burge and Morgan 1993
Plumbaginaceae,Plumbargo,auriculata,1.00,,,-29.98243333,30.24863333,,Ferrero et al. 2009
Poaceae,Andropogon,gerardii,0.86,,,44.471,-93.147,% fruit set #s are actually #s or pollen tubes that grew to base of style,McKone et al. 1998
Poaceae,Bromus,auleticus,-1.04,,,-33.32213333,-61.20546667,,Guiterrez et al. 2006
Poaceae,Leymus,chinensis,0.89,,,41,116,,Zhang et al. 2004
Poaceae,Nardus,stricta,-0.11,,,island,island,"NZ, latitude=-44.028",Kissling et al. 2006
Poaceae,Olyra,latifolia,-0.09,,,10.35,-67.683,,Ramirez and Seres 1994
Poaceae,Panicum,virgatum,0.82,,,41,-92,cultivars and wild pops,Martinez-Reyna and Vogel 2002
Poaceae,Pariana,stenolemma,0.09,,,10.35,-67.683,,Ramirez and Seres 1994
Poaceae,Pennisetum,ciliare,0.20,,,unknown,unknown,percentages are averages of individuals; see other tab; global range?,Shafer et al. 2000
Poaceae,Phragmites,australis,,0.90,,island,island,avg. see inds. Tab; Japan,Ishii and Kadono 2002
Poaceae,Sorghastrum,nutans,0.94,,,44.471,-93.147,% fruit set #s are actually #s or pollen tubes that grew to base of style,McKone et al. 1998
Poaceae,Spartina,alterniflora,0.55,0.45,0.75,30,-92,range estimate,multiple
Polemoniaceae,Ipomopsis,tenuifolia,,1.00,,31.595,-116.054,growth chamber,LaDoux and Friar 2006
Polemoniaceae,Leptosiphon,jepsonii,0.14,,,38.582,-122.602,avg. see inds. Tab,Goodwillie and Knight 2006
Polygalaceae,Bredemeyera,floribunda,1.00,1.00,1.00,10.5,-66.88333333,habit questionable?,Ruiz-Zapata and Arroyo 1978
Polygalaceae,Monnina,angustifolia,1.00,1.00,1.00,-33.33,-70.33,,Arroyo and Uslar 1993
Polygalaceae,Polygala,caracasana,0.53,0.79,0.90,10.5,-66.88,,Jaimes and Ramirez 1999
Polygalaceae,Polygala,vulgaris,0.08,,,59.412,8.295,,Norderhaug 1995
Polygalaceae,Securidaca,scandens,0.37,0.92,0.95,10.5,-66.88333333,,Ruiz-Zapata and Arroyo 1978
Pontederiaceae,Eichhornia,azurea,0.32,0.90,0.93,marine,marine,,multiple
Portulacaceae,Calandria,grandiflora,0.24,0.01,0.24,-33.33,-70.33,,Arroyo and Uslar 1993
Portulacaceae,Calandria,prostrata,0.00,-2.47,-2.47,-33.33,-70.33,,Arroyo and Uslar 1993
Portulacaceae,Portulaca,umbraticola,0.00,0.10,0.10,-26.833,-65.333,,multiple
Primulaceae,Hottonia,palustris,0.89,,,51.1,3.723,,Brys et al. 2007
Primulaceae,Primula,cicutariifolia,,0.09,,,,,Chen 2009
Primulaceae,Primula,merrilliana,,0.92,,,,distylous,Chen 2009
Primulaceae,Primula,mistassinica,,0.76,,45.167,-81.653,,Larson and Barrett 1998
Primulaceae,Primula,scotica,-0.20,-0.27,-0.52,island,island,,McKee and Richards 1998
Primulaceae,Primula,veris,0.41,0.35,0.62,island,island, var. officinalis,"Darwin, C. 1877. The different forms of flowers on plants of the same species. http://www.gutenberg.org/etext/3807 (March 1, 2003)"
Primulaceae,Trientalis,borealis,1.00,,,46.55,-66.15,,Barrett and Helenurm 1987
Proteaceae,Banksia,ericifolia,0.73,,,-34.667,150.717,,Carthew et al. 1996
Proteaceae,Banksia,ilicifolia,0.74,,,-31.94,115.859,,Heliyanto et al. 2005
Proteaceae,Banksia,menziesii,1.00,,,-32.25,115.8333,,Ramsey and Vaughton 1991
Proteaceae,Banksia,paludosa,0.48,,,-34.667,150.717,,Goldingay and Whelan 1990
Proteaceae,Banksia,spinulosa,0.58,0.38,0.74,-34.666,150.717,,multiple
Proteaceae,Banksia,spinulosaneoanglica,0.09,,,-30.5,152.45,Vaughton and Carthew 1993,Goldingay and Carthew 1998
Proteaceae,Conospermum,ellipticum,1.00,,,-25,135,Morrison et al 1994; Australian average range,Goldingay and Carthew 1998
Proteaceae,Conospermum,ericifolium,1.00,,,-25,135,Morrison et al 1994; Australian average range,Goldingay and Carthew 1998
Proteaceae,Conospermum,longifolium,1.00,,,-25,135,Morrison et al 1994; Australian average range,Goldingay and Carthew 1998
Proteaceae,Conospermum,taxifolium,1.00,,,-25,135,Morrison et al 1994; Australian average range,Goldingay and Carthew 1998
Proteaceae,Dryandra,formosa,-0.06,,,-35.167,138.567,,Matthews and Sedgley 1998
Proteaceae,Dryandra,nivea,1.00,,,-25,135,"avg, see inds tab; Australian range average",Goldingay and Carthew 1998
Proteaceae,Dryandra,quercifolia,0.60,,,-35.167,138.567,,Matthews and Sedgley 1998
Proteaceae,Dryandra,sessilis,1.00,,,-25,135,"avg, see inds tab; Australian range average",Goldingay and Carthew 1998
Proteaceae,Embothrium,coccineum,0.72,0.96,0.99,-41.45,-71.742,averaged studies,multiple
Proteaceae,Grevillea,barklyana,0.02,,,-25,135,avg. see inds. Tab; Australian average range,Goldingay and Carthew 1998
Proteaceae,Grevillea,huegelii,0.86,,,-25,135,avg. see inds. Tab; Australian average range,Goldingay and Carthew 1998
Proteaceae,Grevillea,iaspicula,0.94,0.91,0.99,-35.12,148.678,,Hoebee and Young 2001
Proteaceae,Grevillea,lavandulacea,0.56,,,-25,135,Chivell and Carthew unpub. Data; Australian average range,Goldingay and Carthew 1998
Proteaceae,Grevillea,linearifolia,0.95,,,-34.15,117.497,,Hermanutz et al. 1998
Proteaceae,Grevillea,longifolia,0.39,,,-34.15,117.497,,Hermanutz et al. 1998
Proteaceae,Grevillea,mucronulata,0.70,,,-34.15,117.497,,Hermanutz et al. 1998
Proteaceae,Grevillea,muricata,0.78,,,-25,135,Chivell and Carthew unpub. Data; Australian average range,Goldingay and Carthew 1998
Proteaceae,Grevillea,oleoides,0.35,,,-34.15,117.497,,Hermanutz et al. 1998
Proteaceae,Grevillea,robusta,1.00,,,-28.18,152.43,avg. see inds. Tab; Kenyan and Australian pops?,Kalinganire et al. 2000
Proteaceae,Grevillea,sphacelata,0.84,,,-34.15,117.497,,Hermanutz et al. 1998
