Family,Genus,Species,ISIfruits,ISIseeds,ISItotal,Latitude,Longitude,notes,source
Bignoniaceae,Jacaranda,racemosa,0.96,,,-19.038,-43.709,,Bittencourt and Semir 2006
Bignoniaceae,Pithecoctinium,cynanchoides,1.00,,,-31.73,-64.43,,Morales and Galetto 2003
Bignoniaceae,Tabebuia,chrysantha,1.00,,,19.5,-105.05,,Bullock 1985
Bignoniaceae,Tabebuia,chrysotricha,0.20,0.14,0.31,-22.0585,-44.142,avg. see inds. Tab,Bittencourt and Semir 2005
Bignoniaceae,Tabebuia,donnell_smithii,1.00,,,19.5,-105.05,,Bullock 1985
Bignoniaceae,Tabebuia,heptaphylla,0.61,,,-20.138,-45.527,"avg. see inds. Tab, avg species range",Bittencourt and Semir 2005
Bignoniaceae,Tabebuia,impetiginosa,1.00,,,-23.445,-46.639,,multiple
Bignoniaceae,Tabebuia,neochrysantha,1.00,,,10.53,-85.25,,Bawa 1974
Bignoniaceae,Tabebuia,nodosa,1.00,,,-29.5,-60.167,,Gibbs and Bianchi 1999
Bignoniaceae,Tabebuia,ochracea,1.00,,,-15.86666667,-47.85,Barros 1989/Gibbs and Bianchi 1993,Oliveira and Gibbs 2000
Bignoniaceae,Tabebuia,palmeri,1.00,,,10.53,-85.25,,Bawa 1974
Bignoniaceae,Tabebuia,rosea,1.00,,,10.53,-85.25,,Bawa 1974
Bignoniaceae,Tabebuia,roseo-alba,1.00,,,,,,Gandolphi and Bittencourt 2010
Bignoniaceae,Tabebuia,spectabilis,1.00,1.00,1.00,10.5,-66.88333333,,Ruiz-Zapata and Arroyo 1978
Bignoniaceae,Tabebuia,umbellata,1.00,,,-15.623,-45.176,"avg. see inds. Tab, avg species range",Bittencourt and Semir 2005
Bignoniaceae,Tabebuia,vellosoi,1.00,,,-19.167,-43.5,avg. see inds. Tab,Bittencourt and Semir 2005
Bombaceae,Ceiba,pentandra,1.00,,,-3.133,-60,,Gribel et al. 1999
Boraginaceae,Amsinckia,grandiflora,,0.56,,37.948,-121.003,,multiple
Boraginaceae,Auxemma,glazioviana,1.00,,,-8.46,-37.42,Silva and Machado 1997,Machado et al. 2006
Boraginaceae,Auxemma,onocalyx,1.00,,,-8.46,-37.42,Silva and Machado 1997,Machado et al. 2006
Boraginaceae,Borago,officinalis,0.00,,,52.483,7.91,avg. see inds. Tab,Montaner et al. 2000
Boraginaceae,Bourreria,exsucca,0.93,0.95,1.00,11.71,-69.78,,Lemus-Jimenez and Ramirez 2005
Boraginaceae,Bourreria,quirosii,0.92,,,10.53,-85.25,,Bawa 1974
Boraginaceae,Consolida,ajacis,0.15,,,41.433,1.999,greenhouse,Bosch et al. 2001
Boraginaceae,Consolida,mauritania,0.10,,,32.87,-5.35,greenhouse,Bosch et al. 2001
Boraginaceae,Consolida,pubescens,0.27,,,41.992,0.129,greenhouse,Bosch et al. 2001
Boraginaceae,Cordia,alliodora,0.77,,,9.633,-83.748,Opler et al 1975,Lloyd and Schoen 1992
Boraginaceae,Cordia,curassavica,1.00,1.00,1.00,15,-88,heterostyly; Tropicos,Taisma and Varela 2005
Boraginaceae,Cordia,eleagnoides,0.57,,,19.5,-105.05,,Bullock 1985
Boraginaceae,Cordia,globosa1,0.21,0.16,0.34,11.71,-69.78,SI/SC entries.  See Machado 1990 entry,Lemus-Jimenez and Ramirez 2005
Boraginaceae,Cordia,globosa2,1.00,,,-8.46,-37.42,Machado 1990,Machado et al. 2006
Boraginaceae,Cordia,leucocephala,1.00,,,-8.46,-37.42,Machado 1990,Machado et al. 2006
Boraginaceae,Cordia,lutea,0.70,,,island,island,,McMullen 1987
Boraginaceae,Cryptantha,flava,,0.05,,40.45,-109.538,"used field crosses not greenhouse crosses, distylous",Casper 1985
Boraginaceae,Heliotropium,angiospermum,0.36,0.58,0.73,10.5,-66.88,,Jaimes and Ramirez 1999
Boraginaceae,Lithospermum,caroliniense,0.75,,,41.459,-87.019,,Levin 1972
Boraginaceae,Mertensia,fusiformis,1.00,1.00,,38.97,106.99,,Forrest and Thomson 2010
Boraginaceae,Myosotis,brockiei,,0.12,,island,island,Brandon 2001; Boris has listed as ISIF,Newstrom and Robertson 2005
Boraginaceae,Myosotis,forsteri,,0.01,,,,Brandon 2001; Boris has listed as ISIF,Brandon 2001
Boraginaceae,Myosotis,laeta,,-0.03,,island,island,Brandon 2001; Boris has listed as ISIF,Newstrom and Robertson 2005
Boraginaceae,Myosotis,macrantha,,0.09,,island,island,Brandon 2001; Boris has listed as ISIF,Newstrom and Robertson 2005
Boraginaceae,Myosotis,monroi,,0.05,,island,island,Brandon 2001; Boris has listed as ISIF,Newstrom and Robertson 2005
Boraginaceae,Myosotis,tenericaulis,,0.04,,,,Brandon 2001; Boris has listed as ISIF,Brandon 2001
Boraginaceae,Tournefortia,gnaphalodes,-0.06,-0.16,-0.23,11.71,-69.78,was gen. Argucia,Lemus-Jimenez and Ramirez 2005
Boraginaceae,Tournefortia,rufo_sericea,-0.01,,,island,island,lianas,McMullen 2007
Brassicaceae,Alliaria,petiola,-0.21,0.09,-0.11,40.498,-88.769,percentages are averages of individuals; see other tab; invasive-native to Eurasia,Anderson et al. 1996
Brassicaceae,Arabidopsis,lyrata,0.73,,,,,**Assume ISI fruits = 1**,Mable et al. 2005
Brassicaceae,Arabidopsis,thaliana,0.00,,,,,Abbott and Gomes 1989 t estimate,B. Igic pers. comm 
Brassicaceae,Atamisquera,emarginata,0.96,,,26.83,-65.33,Capparaceae inlcuded in Brassicaceae,Aizen and Feinsinger 1994
Brassicaceae,Brassica,rapa,0.81,,,cultivar,cultivar,avg. see inds. Tab; cultivatars,Horisaki and Niikura 2007
Brassicaceae,Cakile,edentula,,0.27,,41.657,-87.062,,Donohue 1998
Brassicaceae,Cakile,maritima,0.79,,,-35.982,150.148,greenhouse,Thrall et al. 2000
Brassicaceae,Capparis,brevispina,0.50,,,12.06,79.88,,Nayak and Davidar 2010
Brassicaceae,Capparis,flexuosa,0.35,-0.29,0.16,10.5,-66.88333333,Capparaceae inlcuded in Brassicaceae,Ruiz-Zapata and Arroyo 1978
Brassicaceae,Capparis,hastata,0.60,,,-8.46,-37.42,"Primo 2004, Capparaceae inlcuded in Brassicaceae",Machado et al. 2006
Brassicaceae,Capparis,jacobinae,0.95,,,-8.46,-37.42,"Primo 2004, Capparaceae inlcuded in Brassicaceae",Machado et al. 2006
Brassicaceae,Capparis,pitteri,1.00,,,10.433,-84,Capparaceae inlcuded in Brassicaceae,Bawa et al. 1985a
Brassicaceae,Capparis,verrucosa,0.73,0.91,0.98,10.5,-66.88333333,Capparaceae inlcuded in Brassicaceae,multiple
Brassicaceae,Capparis,zeylanica,0.94,,,12.06,79.88,,Nayak and Davidar 2010
Brassicaceae,Cardamine,angustata,0.73,,,36,-78.9,,Motten 1986
Brassicaceae,Draba,palanderiana,,1.00,,69.413,-143.847,avg. see inds. Tab,Grundt et al. 2005
Brassicaceae,Hirschfeldia,incana,0.72,0.89,0.97,43.705,3.816,greenhouse,Darmency and Fleury 2000
Brassicaceae,Isatis,tinctoria,0.40,,,46.818,8.227,transplant,Spataro and Negri 2008
Bromeliaceae,Aechmaea,araneosa,0.32,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Aechmaea,beeriana,1.00,,,,,,"Nara and Webber 2002, Mattalana et al. 2010"
Bromeliaceae,Aechmaea,capixabae,0.26,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Aechmaea,comata,0.00,,,,,,"Lenzi et al. 2006, Mattalana et al. 2010"
Bromeliaceae,Aechmaea,distichantha,0.94,,,-29.5,-60.17,,Bianchi et al. 2000
Bromeliaceae,Aechmaea,lamarchei,0.19,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Aechmaea,macrochlamys,0.30,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Aechmaea,mutica,0.31,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Aechmaea,nudicaulis,1.00,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Aechmaea,pectinata,1.00,,,,,,"Canela and Sazima, Mattalana et al. 2010"
Bromeliaceae,Aechmaea,pineliana,0.91,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Alcantarea,extensa,-0.43,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Alcantarea,glaziouana,0.06,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Alcantarea,imperialis,-0.01,,,,,,"Martinelli 1994, Mattalana et al. 2010"
Bromeliaceae,Araeococcus,parviflorus,1.00,,,,,,"Siqueira-Filho 2003, Mattalana et al. 2010"
Bromeliaceae,Billbergia,amoena,0.79,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Billbergia,bradeana,-0.03,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Billbergia,euphemiae,1.00,,,-19.95,-40.5,,Matallana et al. 2010
Bromeliaceae,Billbergia,horrida,1.00,,,-19.95,-40.5,,Matallana et al. 2010
